InternalName,卡牌名称,胜率,选取率,略过率
Afterlife,来生,52.6,12.4,87.6
Lethality,致死性,52.2,18.8,81.2
Eradicate,根除,52.0,13.7,86.3
Debilitate,摧残,51.6,9.2,90.8
SpiritOfAsh,灰烬之灵,51.4,18.3,81.7
TimesUp,大限已至,51.1,25.6,74.4
EndOfDays,末日降临,51.1,33.6,66.4
Eidolon,幻景,50.6,13.4,86.6
DeathMarch,死亡行军,50.5,17.5,82.5
SentryMode,哨卫模式,50.3,26.8,73.2
Graveblast,坟冢爆射,50.1,11.3,88.7
ShadowShield,暗影之盾,47.2,17.6,82.4
Shatter,打碎,47.0,26.1,73.9
Fusion,聚变,46.3,19.7,80.3
Claw,爪击,46.1,12.8,87.2
LightningRod,引雷针,45.5,22.5,77.5
TeslaCoil,特斯拉线圈,45.5,22.8,77.2
ChargeBattery,充电,45.1,17.4,82.6
ColdSnap,寒流,43.9,16.5,83.5
Leap,飞跃,43.7,5.6,94.4
FocusedStrike,集中打击,43.1,16.1,83.9
Synthesis,人工合成,43.1,7.3,92.7
BallLightning,球状闪电,42.5,18.6,81.4
Refract,折射,42.1,7.6,92.4
Uproar,骚动,42.0,3.4,96.6
SweepingBeam,扫荡射线,41.9,9.5,90.5
Hyperbeam,超能光束,41.9,8.0,92.0
MomentumStrike,趁势打击,40.7,9.9,90.1
Sunder,分离,38.6,10.6,89.4
Zap,电击,34.3,0,0
Dualcast,双重释放,33.7,0,0
Ignition,引火,64.2,31.8,68.2
Defragment,碎片整理,64.0,64.7,35.3
Reboot,重启,63.6,41.7,58.3
FlakCannon,散射炮,63.2,23.8,76.2
EchoForm,回响形态,62.6,57.6,42.4
HelixDrill,螺旋钻击,62.5,17.5,82.5
AllForOne,万物一心,62.0,28.1,71.9
EnergySurge,能量涌动,61.9,57.1,42.9
Voltaic,电流相生,61.8,54.0,46.0
Scavenge,再利用,61.6,31.7,68.3
Offering,祭品,64.6,62.5,37.5
TearAsunder,扯碎,61.2,15.9,84.1
Stoke,添柴,58.0,34.1,65.9
DemonicShield,恶魔护盾,57.6,23.7,76.3
DarkEmbrace,黑暗之拥,57.5,38.9,61.1
Impervious,岿然不动,57.4,33.0,67.0
CrimsonMantle,绯红披风,57.1,39.8,60.2
PactsEnd,契约终结,57.0,25.5,74.5
Unmovable,坚定不移,56.6,25.6,74.4
Tank,肉盾,56.4,11.2,88.8
Cascade,倾泻,55.8,24.1,75.9
Defy,违逆,50.1,12.3,87.7
SleightOfFlesh,血肉戏法,49.9,11.4,88.6
Cleanse,洁净,49.8,27.8,72.2
ReaperForm,死神形态,49.7,36.5,63.5
Severance,切断,49.7,20.4,79.6
Shroud,厄运之衣,49.3,19.7,80.3
Squeeze,榨取,48.6,17.5,82.5
Delay,拖延,48.3,15.5,84.5
DeathsDoor,死亡之门,48.2,20.2,79.8
Countdown,倒数计时,48.2,20.6,79.4
GraveWarden,守墓人,47.9,28.7,71.3
Sneaky,鬼祟,71.1,39.2,60.8
Afterimage,余像,70.6,56.8,43.2
Adrenaline,肾上腺素,70.2,72.4,27.6
Tracking,跟踪,68.7,34.0,66.0
Flanking,夹击,67.4,20.8,79.2
ToolsOfTheTrade,必备工具,67.4,46.4,53.6
MasterPlanner,谋划专家,67.0,44.7,55.3
Abrasive,磨蚀,66.9,37.3,62.7
BundleOfJoy,新生之喜,39.9,10.0,90.0
Hegemony,霸权,39.8,13.4,86.6
Devastate,葬送,39.2,16.5,83.5
Glitterstream,流光溢彩,38.8,5.3,94.7
SpoilsOfBattle,战利品,37.2,12.6,87.4
CrashLanding,迫降,37.0,10.0,90.0
Parry,招架,36.9,12.4,87.6
SolarStrike,太阳打击,36.4,12.9,87.1
CrescentSpear,新月长矛,35.9,14.0,86.0
KinglyKick,王者之踢,35.3,7.8,92.2
AstralPulse,星界脉冲,35.1,14.1,85.9
Barricade,壁垒,55.7,35.1,64.9
Colossus,巨像,54.4,32.9,67.1
Brand,烙印,54.3,39.0,61.0
BurningPact,燃烧契约,54.0,38.5,61.5
Cruelty,残酷,53.3,44.9,55.1
Hellraiser,地狱狂徒,53.0,44.5,55.5
FiendFire,恶魔之焰,52.9,25.4,74.6
Thrash,痛殴,52.9,40.9,59.1
DrumOfBattle,战鼓,52.8,9.5,90.5
Inferno,狱火,52.2,17.5,82.5
Aggression,好勇斗狠,52.2,30.0,70.0
Smokestack,烟囱,56.9,17.1,82.9
Spinner,旋转工艺,56.8,41.0,59.0
Compact,压缩,56.3,34.2,65.8
IceLance,冰之长枪,56.2,20.5,79.5
Hologram,全息影像,56.2,21.5,78.5
FightThrough,强撑,56.2,18.9,81.1
Coolant,冷却剂,55.6,24.3,75.7
Glacier,冰川,55.3,33.6,66.4
Scrape,刮削,54.9,10.7,89.3
Chill,冰寒,54.7,37.8,62.2
RocketPunch,火箭飞拳,54.6,11.4,88.6
Fisticuffs,拳斗,51.0,1.2,98.8
JackOfAllTrades,花样百出,51.0,1.9,98.1
SeekerStrike,探寻打击,50.3,1.3,98.7
TagTeam,双打组合,49.6,1.2,98.8
DramaticEntrance,闪亮登场,46.6,2.8,97.2
HandOfGreed,贪婪之手,46.4,0.2,99.8
Omnislice,万向斩,45.0,2.3,97.7
ThrummingHatchet,无休手斧,44.2,1.0,99.0
TheBomb,炸弹,43.2,1.0,99.0
HeavenlyDrill,天际钻头,65.8,19.1,80.9
BigBang,大爆炸,61.9,68.2,31.8
HammerTime,锤子时间,60.6,21.8,78.2
DecisionsDecisions,抉择，抉择,59.5,51.1,48.9
LunarBlast,月面射击,58.3,11.6,88.4
Comet,彗星,57.5,35.0,65.0
Arsenal,武器库,57.2,18.5,81.5
Tyranny,暴政,56.3,28.9,71.1
VoidForm,虚空形态,56.1,55.5,44.5
WellLaidPlans,计划妥当,61.7,21.7,78.3
EscapePlan,逃脱计划,60.7,34.8,65.2
FanOfKnives,刀扇,60.7,40.7,59.3
Footwork,灵动步法,60.6,21.6,78.4
Murder,谋杀,60.5,16.1,83.9
ShadowStep,暗影步,60.4,28.6,71.4
Tactician,战术大师,59.9,54.0,46.0
Burst,爆发,58.6,32.7,67.3
Shadowmeld,融入暗影,58.6,25.4,74.6
Expose,暴露,58.3,38.1,61.9
Expertise,独门技术,57.8,18.6,81.4
Pyre,薪火之源,47.9,67.5,32.5
BodySlam,全身撞击,47.8,15.3,84.7
Havoc,破灭,47.5,9.2,90.8
Pillage,劫掠,47.4,25.0,75.0
Juggernaut,势不可当,47.2,18.3,81.7
TrueGrit,坚毅,47.2,13.8,86.2
Feed,狂宴,47.1,30.3,69.7
Rupture,撕裂,46.7,17.7,82.3
AshenStrike,灰烬打击,46.6,18.2,81.8
StoneArmor,岩石铠甲,46.2,12.2,87.8
Dominate,主宰,46.1,22.7,77.3
TheSmith,铸剑者,49.6,36.5,63.5
Convergence,汇流,49.5,34.1,65.9
SeekingEdge,追踪之刃,48.6,42.4,57.6
BlackHole,黑洞,48.4,28.0,72.0
Supermassive,超质量体,48.3,4.2,95.8
MonarchsGaze,王之凝视,47.9,18.3,81.7
Reflect,倒映,47.8,32.1,67.9
GammaBlast,伽马爆破,47.8,20.6,79.4
BeatIntoShape,锻打成型,46.4,30.9,69.1
Glow,辉光,46.4,46.1,53.9
Bulwark,铸墙,45.9,32.4,67.6
BulkUp,暴涨,54.5,8.9,91.1
Subroutine,子程序,54.4,33.9,66.1
CompileDriver,编译冲击,53.4,12.8,87.2
WhiteNoise,白噪声,53.2,50.5,49.5
ConsumingShadow,吞噬暗影,52.8,26.2,73.8
MeteorStrike,陨石打击,52.7,12.7,87.3
Loop,循环,52.4,33.0,67.0
Thunder,雷霆,52.3,35.1,64.9
BoostAway,高速脱离,52.3,10.0,90.0
DoubleEnergy,双倍能量,52.3,37.0,63.0
Capacitor,扩容,50.6,37.8,62.2
Hailstorm,冰雹风暴,50.5,16.8,83.2
AdaptiveStrike,适应打击,50.3,17.9,82.1
Barrage,弹幕齐射,50.1,4.5,95.5
MultiCast,多重释放,49.4,16.4,83.6
Hotfix,热修复,48.7,36.8,63.2
Darkness,漆黑,48.5,24.5,75.5
Chaos,混沌,47.7,25.3,74.7
GunkUp,污秽攻击,47.4,5.4,94.6
Glasswork,玻璃工艺,47.4,20.9,79.1
BeamCell,光束射线,47.4,12.2,87.8
Luminesce,冷光,0.0,0,0
MindRot,心灵腐化,0.0,0,0
MinionDiveBomb,仆从俯冲,0.0,0,0
MinionSacrifice,仆从捐躯,0.0,0,0.0
MinionStrike,仆从打击,0.0,0,0.0
Shiv,小刀,0.0,0,0
Sloth,懒惰,0.0,0,0
WasteAway,衰朽,0.0,0.0,0.0
Alchemize,炼制药水,70.1,0.6,99.4
Rally,集结,69.8,1.2,98.8
Mimic,拟态,69.5,1.6,98.4
HiddenGem,未掘宝石,67.7,1.4,98.6
Mayhem,乱战,66.8,0.7,99.3
Jackpot,大奖,65.8,0.5,99.5
Shockwave,震荡波,65.6,2.5,97.5
HuddleUp,抱团,64.9,6.9,93.1
Automation,自动化,64.8,4.8,95.2
SecretWeapon,秘密武器,64.4,0.4,99.6
Finesse,妙计,63.4,5.3,94.7
Stardust,星尘,51.9,20.8,79.2
Radiate,辐射,51.7,28.5,71.5
RoyalGamble,胜券在王,51.4,42.6,57.4
Orbit,环绕轨道,51.3,34.1,65.9
Bombardment,轰击,51.0,22.1,77.9
ParticleWall,粒子墙,50.6,30.8,69.2
SwordSage,剑圣,50.5,27.5,72.5
ForegoneConclusion,既定事项,50.3,24.9,75.1
NeutronAegis,中子护盾,50.1,24.3,75.7
Alignment,星位序列,49.8,57.1,42.9
Charge,冲锋！！,49.6,30.9,69.1
Buffer,缓冲,61.4,35.5,64.5
MachineLearning,机器学习,61.2,44.9,55.1
Overclock,超频,61.0,32.0,68.0
Supercritical,超临界态,60.7,51.0,49.0
Skim,快速检索,59.5,41.5,58.5
Turbo,内核加速,58.2,31.5,68.5
Modded,模组改造,58.2,45.7,54.3
Iteration,迭代,57.9,21.4,78.6
SignalBoost,信号增强,57.7,33.7,66.3
TrashToTreasure,化废为宝,57.4,35.0,65.0
